nodeId:ID,:LABEL,title,process_number,summary,publication_date,source_url,temporal_status,authority_weight:float
CC_ADI_4862,ConstitutionalControl,ADI / 4862,4862,"Ação Direta de Inconstitucionalidade. 2. Lei 16. 785, de 11 de janeiro de 2011, do Estado do Paraná. 3. Cobrança proporcional ao tempo efetivamente utilizado por serviços de estacionamento privado. Inconstitucionalidade configurada . 4. Ação direta julgada procedente.",2017-02-06,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+4862%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI-MC_3322,ConstitutionalControl,ADI-MC / 3322,3322,"EMENTA: INCONSTITUCIONALIDADE. AÇÃO DIRETA. Lei Distrital nº 3.426/2004. Serviço público. Telecomunicações. Telefonia fixa. Concessão. Concessionárias. Obrigação de discriminar informações na fatura de cobrança. Definição de ligação local. Disposições sobre ônus da prova, termo de adequação e multa. Inadmissibilidade. Aparência de invasão de competência legislativa exclusiva da União. Ofensa aos artigos 21, XI, 22, IV, e 175, § único, incs. I, II e III, da CF. Liminar concedida. Precedentes. Votos vencidos. Aparenta inconstitucionalidade a lei distrital que, regulando a prestação do serviço correspondente, imponha a concessionárias de telefonia fixa obrigações na confecção das faturas e disponha sobre unidade de tarifação, ônus da prova, termo de adequação às suas normas e aplicação de multas.",2006-12-19,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI-MC%2ESCLA%2E+E+3322%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_5253,ConstitutionalControl,ADI / 5253,5253,"EMENTA Ação direta de inconstitucionalidade. Artigo 1º, caput e parágrafo único, e artigo 2º, caput e parágrafo único, da Lei Estadual nº 13.189, de 4 de julho de 2014, do Estado da Bahia. Serviços de telecomunicações. Matéria de competência legislativa privativa da União. Norma que cria obrigação não prevista nos contratos de concessão celebrados entre a União e as concessionárias de serviços de telefonia móvel. Violação do artigo 22, inciso IV, da Constituição Federal. Medida cautelar. Referendo. Conversão. Julgamento de mérito. Procedência da ação. 1. O Supremo Tribunal Federal já reconheceu a legitimidade ativa da Associação Nacional das Operadoras Celulares (ACEL) para o controle concentrado de constitucionalidade de leis que, a exemplo da que é impugnada na presente ação, estabeleciam obrigações para operadoras de serviço móvel de telefonia. Precedentes: ADI 4.715 MC, Rel. Min. Marco Aurélio, Tribunal Pleno, DJe de 19/8/13; ADI 3.846, Rel. Min. Gilmar Mendes, Tribunal Pleno, DJe de 15/3/11; ADI 5.356 MC, Rel. Min. Edson Fachin, decisão monocrática, DJe de 20/11/15. 2. A Lei nº 13.189, de 4 de julho de 2014, do Estado da Bahia, ao criar obrigação para as operadoras do serviço móvel pessoal, consistente na instalação e na manutenção de bloqueadores de sinais de radiocomunicações (BSR) nos estabelecimentos penais de todo o Estado, com o objetivo de impedir a comunicação por telefones móveis no interior dos referidos estabelecimentos, dispôs a respeito de serviços de telecomunicações, matéria da competência legislativa privativa da União, na forma do artigo 22, inciso IV, da Constituição Federal. 3. O Supremo Tribunal Federal, em várias ocasiões, já afirmou a inconstitucionalidade de normas estaduais e distritais que impunham obrigações às concessionárias de telefonia, por configurar ofensa à competência privativa da União para legislar sobre telecomunicações. Precedentes: ADI 3.846/PE, Rel. Min. Gilmar Mendes, DJ de 15/3/11; ADI 3 .322/DF, Rel. Min. Gilmar Mendes, DJ de 4/3/11; ADI 4.401/MG-MC, Rel. Min. Gilmar Mendes, DJ de 1º/10/10; ADI 2.615/SC-MC, Rel. Min. Nelson Jobim, DJ de 6/12/02. 4. A obrigação criada pela lei estadual questionada não está prevista nos contratos de concessão celebrados entre as empresas de serviços de telefonia móvel e a União, circunstância que evidencia, ainda mais, a interferência indevida do Estado em assunto de competência do ente federal. Precedente: ADI 3.533, Rel. Min. Eros Grau, DJ de 6/10/06. 5. Conversão do julgamento do referendo à medida cautelar em decisão de mérito. Ação julgada procedente.",2017-07-31,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+5253%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_4861,ConstitutionalControl,ADI / 4861,4861,"Ação direta de inconstitucionalidade. Constitucional. Repartição de competências. Lei 15.829/2012 do Estado de Santa Catarina, que determina às empresas operadoras do Serviço Móvel Pessoal a instalação de bloqueadores de sinais de radiocomunicações nos estabelecimentos penais. Alegação de violação aos artigos 21, IX; 22, IV; e 175, parágrafo único, I e II, da Constituição Federal. 2. Inconstitucionalidade formal. Ao ser constatada aparente incidência de determinado assunto a mais de um tipo de competência, deve-se realizar interpretação que leve em consideração duas premissas: a intensidade da relação da situação fática normatizada com a estrutura básica descrita no tipo da competência em análise e, além disso, o fim primário a que se destina essa norma, que possui direta relação com o princípio da predominância de interesses. Competência da União para explorar serviços de telecomunicação (artigo 21, XI) e para legislar sobre telecomunicações (artigo 22, IV). O Supremo Tribunal Federal tem firme entendimento no sentido da impossibilidade de interferência do Estado-membro nas relações jurídicas entre a União e as prestadoras dos serviços de telecomunicações. Em conformidade com isso, a jurisprudência vem reconhecendo a inconstitucionalidade de normas estaduais que tratam dos direitos dos usuários; do fornecimento de informações pessoais e de consumo a órgãos estaduais de segurança pública; e da criação de cadastro de aparelhos celulares roubados, furtados e perdidos no âmbito estadual. Precedentes. A Lei 15.829/2012, do Estado de Santa Catarina, trata de telecomunicações, na medida em que suprime a prestação do serviço atribuído pela CF à União, ainda que em espaço reduzido ? âmbito dos estabelecimentos prisionais. Interferência considerável no serviço federal. Objetivo primordialmente econômico da legislação ? transferência da obrigação à prestadora do serviço de telecomunicações. Invasão indevida da competência legislativa da União. 3. Ação direta julgada procedente para declarar a inconstitucionalidade da Lei 15.829/2012 do Estado de Santa Catarina.",2017-07-31,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+4861%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_5356,ConstitutionalControl,ADI / 5356,5356,"LEGITIMIDADE ? PROCESSO OBJETIVO ? ACEL. A Associação Nacional das Operadoras Celulares possui legitimidade para ajuizar ação direta de inconstitucionalidade ? ação direta de inconstitucionalidade nº 3.846, acórdão publicado no Diário da Justiça de 14 de março de 2011. TELEFONIA ? CELULARES ? PRESÍDIOS, CADEIAS PÚBLICAS, CENTROS DE DETENÇÃO, UNIDADES PRISIONAIS E SIMILARES ? BLOQUEIO DE SINAL ? COMPETÊNCIA NORMATIVA. Descabe ao Estado editar lei voltada a obrigar as empresas concessionárias de telefonia móvel a instalar equipamentos para interrupção de sinal de comunicação celular nos estabelecimentos prisionais da unidade da Federação.",2017-07-31,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+5356%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_3835,ConstitutionalControl,ADI / 3835,3835,"LEGITIMIDADE ? PROCESSO OBJETIVO ? ACEL. A Associação Nacional das Operadoras Celulares possui legitimidade para ajuizar ação direta de inconstitucionalidade ? Ação Direta de Inconstitucionalidade nº 3.846, relator ministro Gilmar Mendes, acordão publicado no Diário da Justiça de 14 de março de 2011. TELEFONIA ? CELULARES ? PRESÍDIOS, CADEIAS PÚBLICAS, CENTROS DE DETENÇÃO, UNIDADES PRISIONAIS E SIMILARES ? BLOQUEIO DE SINAL ? COMPETÊNCIA NORMATIVA. Descabe ao Estado editar lei voltada a obrigar as empresas concessionárias de telefonia móvel a instalar equipamentos para interrupção de sinal de comunicação celular nos estabelecimentos prisionais da unidade da Federação.",2017-08-01,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+3835%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_2591,ConstitutionalControl,ADI / 2591,2591,"EMENTA: CÓDIGO DE DEFESA DO CONSUMIDOR. artigo 5o, XXXII, DA CB/88. artigo 170, V, DA CB/88. INSTITUIÇÕES FINANCEIRAS. SUJEIÇÃO DELAS AO CÓDIGO DE DEFESA DO CONSUMIDOR, EXCLUÍDAS DE SUA ABRANGÊNCIA A DEFINIÇÃO DO CUSTO DAS OPERAÇÕES ATIVAS E A REMUNERAÇÃO DAS OPERAÇÕES PASSIVAS PRATICADAS NA EXPLORAÇÃO DA INTERMEDIAÇÃO DE DINHEIRO NA ECONOMIA [artigo 3º, § 2º, DO CDC]. MOEDA E TAXA DE JUROS. DEVER-PODER DO BANCO CENTRAL DO BRASIL. SUJEIÇÃO AO CÓDIGO CIVIL . 1. As instituições financeiras estão, todas elas, alcançadas pela incidência das normas veiculadas pelo Código de Defesa do Consumidor. 2. ""Consumidor"", para os efeitos do Código de Defesa do Consumidor, é toda pessoa física ou jurídica que utiliza, como destinatário final, atividade bancária, financeira e de crédito. 3. O preceito veiculado pelo artigo 3º, § 2º, do Código de Defesa do Consumidor deve ser interpretado em coerência com a Constituição, o que importa em que o custo das operações ativas e a remuneração das operações passivas praticadas por instituições financeiras na exploração da intermediação de dinheiro na economia estejam excluídas da sua abrangência. 4. Ao Conselho Monetário Nacional incumbe a fixação, desde a perspectiva macroeconômica, da taxa base de juros praticável no mercado financeiro. 5. O Banco Central do Brasil está vinculado pelo dever-poder de fiscalizar as instituições financeiras, em especial na estipulação contratual das taxas de juros por elas praticadas no desempenho da intermediação de dinheiro na economia. 6. Ação direta julgada improcedente, afastando-se a exegese que submete às normas do Código de Defesa do Consumidor [Lei n. 8.078/90] a definição do custo das operações ativas e da remuneração das operações passivas praticadas por instituições financeiras no desempenho da intermediação de dinheiro na economia, sem prejuízo do controle, pelo Banco Central do Brasil, e do controle e revisão, pelo Poder Judiciário, nos termos do disposto no Código Civil, em cada caso, de eventual abusividade, onerosidade excessiva ou outras distorções na composição contratual da taxa de juros. artigo 192, DA CB/88. NORMA-OBJETIVO. EXIGÊNCIA DE LEI COMPLEMENTAR EXCLUSIVAMENTE PARA A REGULAMENTAÇÃO DO SISTEMA FINANCEIRO. 7. O preceito veiculado pelo artigo 192 da Constituição do Brasil consubstancia norma-objetivo que estabelece os fins a serem perseguidos pelo sistema financeiro nacional, a promoção do desenvolvimento equilibrado do País e a realização dos interesses da coletividade. 8. A exigência de lei complementar veiculada pelo artigo 192 da Constituição abrange exclusivamente a regulamentação da estrutura do sistema financeiro. CONSELHO MONETÁRIO NACIONAL. artigo 4º, VIII, DA LEI N. 4.595/64. CAPACIDADE NORMATIVA ATINENTE À CONSTITUIÇÃO, FUNCIONAMENTO E FISCALIZAÇÃO DAS INSTITUIÇÕES FINANCEIRAS. ILEGALIDADE DE RESOLUÇÕES QUE EXCEDEM ESSA MATÉRIA. 9. O Conselho Monetário Nacional é titular de capacidade normativa --- a chamada capacidade normativa de conjuntura --- no exercício da qual lhe incumbe regular, além da constituição e fiscalização, o funcionamento das instituições financeiras, isto é, o desempenho de suas atividades no plano do sistema financeiro. 10. Tudo o quanto exceda esse desempenho não pode ser objeto de regulação por ato normativo produzido pelo Conselho Monetário Nacional. 11. A produção de atos normativos pelo Conselho Monetário Nacional, quando não respeitem ao funcionamento das instituições financeiras, é abusiva, consubstanciando afronta à legalidade.",2006-09-29,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+2591%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_4512,ConstitutionalControl,ADI / 4512,4512,"EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI N. 3.885, DE 20/4/2010, DE MATO GROSSO DO SUL. DIREITO À INFORMAÇÃO DO CONSUMIDOR. OPERADORAS DE PLANO OU SEGURO DE ASSISTÊNCIA À SAÚDE. OBRIGATORIEDADE DE ENTREGA DE COMPROVANTE ESCRITO EM CASO DE NEGATIVA, TOTAL OU PARCIAL, DE COBERTURA DE PROCEDIMENTO MÉDICO, CIRÚRGICO OU DE DIAGNÓSTICO, BEM COMO DE TRATAMENTO E INTERNAÇÃO. COMPETÊNCIA LEGISLATIVA CONCORRENTE. NORMA ESTADUAL SUPLEMENTAR. artigo 24, INC. V E § 2º, DA CONSTITUIÇÃO DA REPÚBLICA. OBRIGAÇÃO EXTRACONTRATUAL. DEFESA DO CONSUMIDOR. AUSÊNCIA DE CONTRARIEDADE AOS artigos 5º, INC. XXXVI, 22, INCS. I E VII, E 170 DA CONSTITUIÇÃO DA REPÚBLICA. AÇÃO JULGADA IMPROCEDENTE. 1. A abertura do setor de assistência à saúde à iniciativa privada não obsta a regulação dessa atividade pelo Estado, indispensável para resguardar outros direitos garantidos pela Constituição, em especial a dignidade da pessoa humana, a defesa do consumidor e os direitos à saúde, à integridade física e à vida. 2. Nos termos do artigo 24, inc. V e § 2º, da Constituição da República, os Estados e o Distrito Federal dispõem de competência legislativa suplementar para editar normas de defesa do consumidor. 3. A Lei n. 3.885/2010, de Mato Grosso do Sul, é ato normativo instrumentalizador do consumidor com meios necessários para sua defesa, além de densificar o direito à informação, prefacialmente posto no inc. XIV do artigo 5º da Constituição da República e seguido pelo Código de Defesa do Consumidor (artigos 4º, inc. IV, 6º, inc. III, e 55, § 4º, da Lei n. 8.078/1990). 4. Mais se revela pertinente a norma de proteção do consumidor quanto maior for a hipossuficiência ou déficit de informação daquele que, transitória ou permanentemente debilitado, esteja em estado de especial vulnerabilidade em face do fornecedor do serviço. 5. O princípio da livre iniciativa não pode ser invocado para afastar regras de regulamentação do mercado e de defesa do consumidor. 6. Ação direta de inconstitucionalidade julgada improcedente.",2019-06-14,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+4512%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_5121,ConstitutionalControl,ADI / 5121,5121,"Ação direta de inconstitucionalidade. 2. Lei estadual 10.258/2014 da Paraíba. 3. Serviço público de telecomunicações . 4. Serviços de televisão por assinatura. 5. Criação de obrigações, proibições e sanções para a prestadora de serviços. 6. Invasão da competência legislativa da União. 7. Violação dos artigos 21, XI, 22, IV, e 175, parágrafo único, incisos I e II, da Constituição Federal. Precedentes. 8. Ação direta de inconstitucionalidade julgada procedente.",2019-09-13,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+5121%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_3866,ConstitutionalControl,ADI / 3866,3866,"Ação Direta de Inconstitucionalidade. 2. Lei do estado de Mato Grosso do Sul que dispõe sobre a proibição de interrupção, por parte das empresas concessionárias , do fornecimento de serviços públicos essenciais à população, em decorrência da falta de pagamento. 3. Inconstitucionalidade formal, por afronta à competência dos municípios ? descrita no artigo 30, incisos I e V ? e da União ? prevista nos artigos 21, XII, ?b?; 22, IV; e 175, caput e parágrafo único, incisos I, II e III, todos da Constituição Federal. 4. O Supremo Tribunal Federal possui firme entendimento no sentido da impossibilidade de interferência do Estado-membro nas relações jurídico-contratuais entre poder concedente federal ou municipal e as empresas concessionárias, especificamente no que tange a alterações das condições estipuladas em contrato de concessão de serviços públicos, sob regime federal ou municipal, mediante a edição de leis estaduais. Precedentes. 5. Ação direta de inconstitucionalidade julgada procedente.",2019-09-13,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+3866%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_5568,ConstitutionalControl,ADI / 5568,5568,"Ementa: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI 10.752/2015 DO ESTADO DA PARAÍBA. OBRIGATORIEDADE DE ENVIO DE CONTRATOS DE ADESÃO POR CARTA REGISTRADA NA MODALIDADE AR. CONFLITO ENTRE A DISCIPLINA FEDERAL E A ESTADUAL. INCONSTITUCIONALIDADE. 1. Tratando-se de norma de natureza de direito do consumidor do serviço de telecomunicações e havendo conflito entre a disciplina federal e a estadual, deve aquela prevalecer. A norma federal, nestes casos, serve à homogeneidade regulatória, afastando a competência dos Estados . 2. A ANATEL, entidade reguladora do setor, no exercício de sua competência normativa prevista nos artigos 19 e 22 da Lei n. 9.472/97, editou a Resolução n. 632/2014, que trata do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Segundo o artigo 51 do RDC, o fornecimento do contrato pode ser por meio eletrônico, enquanto a norma estadual impugnada obriga o envio por meio de carta registrada. Assim, sobressai a competência da União, nos termos do artigo 24, §4º, c/c art 22, IV, da CRFB. 3. Ação direta julgada procedente.",2019-10-14,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+5568%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_2905,ConstitutionalControl,ADI / 2905,2905,"COMPETÊNCIA NORMATIVA ? COMERCIALIZAÇÃO DE TÍTULOS DE CAPITALIZAÇÃO ? DISCIPLINA. A teor do disposto no artigo 22 da Constituição Federal, compete exclusivamente à União legislar sobre Direito Civil, Direito Comercial, política de crédito, câmbio, seguros e transferências de valores, sistema de poupança, captação e garantia da poupança popular .",2018-02-01,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+2905%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_2615,ConstitutionalControl,ADI / 2615,2615,"Ação Direta de Inconstitucionalidade. 2. Direito do Consumidor. 3. Telefonia. 4. Assinatura básica mensal. 5. Lei n. 11.908, de 25 de setembro de 2001, do estado de Santa Catarina. 6. Inconstitucionalidade formal. 7. Afronta aos artigos 21, XI, e 22, IV, da Constituição Federal. 8. É inconstitucional norma local que fixa as condições de cobrança do valor de assinatura básica, pois compete à União legislar sobre telecomunicações, bem como explorar, diretamente ou mediante autorização, concessão ou permissão seus serviços. 9. Ação direta julgada procedente.",2015-05-15,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+2615%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
CC_ADI_3343,ConstitutionalControl,ADI / 3343,3343,"Ementa: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI Nº 3.449/04 DO DISTRITO FEDERAL. PROIBIÇÃO DE COBRANÇA DE ASSINATURA BÁSICA NOS SERVIÇOS DE ÁGUA, LUZ, GÁS, TV A CABO E TELEFONIA. INCONSTITUCIONALIDADE. COMPETÊNCIA DA UNIÃO PARA LEGISLAR E PRESTAR OS SERVIÇOS PÚBLICOS DE TELECOMUNICAÇÕES E ENERGIA ELÉTRICA (CF, artigo 21, XI E XII, ?b?, E 22, IV). FIXAÇÃO DA POLÍTICA TARIFÁRIA COMO PRERROGATIVA INERENTE À TITULARIDADE DO SERVIÇO PÚBLICO (CF, artigo 175, PARÁGRAFO ÚNICO, III). AFASTAMENTO DA COMPETÊNCIA CONCORRENTE DO ESTADO-MEMBRO PARA LEGISLAR SOBRE CONSUMO (CF, artigo 24, V E VII). USUÁRIO DE SERVIÇOS PÚBLICOS CUJO REGIME GUARDA DISTINÇÃO COM A FIGURA DO CONSUMIDOR (CF, artigo 175, PARÁGRAFO ÚNICO, II). PRECEDENTES. SERVIÇOS DE FORNECIMENTO DE ÁGUA E GÁS. PRINCÍPIO DA SEPARAÇÃO DE PODERES. RESERVA DE ADMINISTRAÇÃO (CF, artigo 2º). PROCEDÊNCIA DO PEDIDO. 1. O sistema federativo instituído pela Constituição Federal de 1988 torna inequívoco que cabe à União a competência legislativa e administrativa para a disciplina e a prestação dos serviços públicos de telecomunicações e energia elétrica (CF, artigos 21, XI e XII , ?b?, e 22, IV). 2. A Lei nº 3.449/04 do Distrito Federal, ao proibir a cobrança da tarifa de assinatura básica ?pelas concessionárias prestadoras de serviços de água, luz, gás, TV a cabo e telefonia no Distrito Federal? (artigo 1º, caput), incorreu em inconstitucionalidade formal, porquanto necessariamente inserida a fixação da ?política tarifária? no âmbito de poderes inerentes à titularidade de determinado serviço público, como prevê o artigo 175, parágrafo único, III, da Constituição, elemento indispensável para a preservação do equilíbrio econômico-financeiro do contrato de concessão e, por consequência, da manutenção do próprio sistema de prestação da atividade. 3. Inexiste, in casu, suposto respaldo para o diploma impugnado na competência concorrente dos Estados-membros para dispor sobre direito do consumidor (CF, artigo 24, V e VII), cuja interpretação não pode conduzir à frustração da teleologia da referida regra expressa contida no artigo 175, parágrafo único, III, da CF, descabendo, ademais, a aproximação entre as figuras do consumidor e do usuário de serviços públicos, já que o regime jurídico deste último, além de informado pela lógica da solidariedade social (CF, artigo 3º, I), encontra sede específica na cláusula ?direitos dos usuários? prevista no artigo 175, parágrafo único, II, da Constituição. 4. Ofende a denominada reserva de administração, decorrência do conteúdo nuclear do princípio da Separação de Poderes (CF, artigo 2º), a proibição de cobrança de tarifa de assinatura básica no que concerne aos serviços de água e gás, em grande medida submetidos também à incidência de leis federais (CF, artigo 22, IV), mormente quando constante de ato normativo emanado do Poder Legislativo fruto de iniciativa parlamentar, porquanto supressora da margem de apreciação do Chefe do Poder Executivo Distrital na condução da Administração Pública, no que se inclui a formulação da política pública remuneratória do serviço público. 5. Ação Direta de Inconstitucionalidade julgada procedente.",2011-11-21,http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28ADI%2ESCLA%2E+E+3343%2ENUME%2E%29&base=baseAcordaos&url=http://tinyurl.com/yctd5h3k,active,1.0
