nodeId:ID,:LABEL,citation_raw,inferred_type,court,authority_weight:float,case_number,origin_state,adjudicating_body,rapporteur,decision_date,cited_ementa
EXT_RESP_1453275_SC,ExternalCitation,REsp 1453275/SC,Case,STJ,1.0,,,,,,
EXT_ARTIGO_18_DO_CODIGO_DE_DEFESA_DO_CONSUMIDOR,ExternalCitation,artigo 18 do Código de Defesa do Consumidor,Unknown,,1.0,,,,,,
EXT_RHC_105272_SP,ExternalCitation,"(RHC n. 105.272/SP, Quinta Turma, Rel. Min. Felix Fischer, DJe de 1º/2/2019)",Case,STJ,0.8563,105.272,SP,Quinta Turma,Felix Fischer,1º/2/2019,", noticiando o vencimento do prazo de validade não é suficiente para atestar que o produto seja efetivamente impróprio para o consumo, afigurando-se imprescindível a realização de perícia técnica que ateste o fato"
EXT_RHC_91502_SP,ExternalCitation,"(RHC n. 91.502/SP, Quinta Turma, Rel. Min. Joel Ilan Paciornik, DJe de 1º/2/2018)",Case,STJ,0.8563,91.502,SP,Quinta Turma,Joel Ilan Paciornik,1º/2/2018,"RECURSO EM HABEAS CORPUS. CRIME CONTRA AS RELAÇÕES DE CONSUMO. ART. 7º, PARÁGRAFO ÚNICO, INCISO IX DA LEI N. 8.137/90. ALIMENTOS IMPRÓPRIOS PARA O CONSUMO. MERCADORIA COM PRAZO DE VALIDADE VENCIDA. AUSÊNCIA DE PERÍCIA TÉCNICA. MATERIALIDADE DELITIVA NÃO DEMONSTRADA. FALTA DE JUSTA CAUSA PARA A AÇÃO PENAL. TRANCAMENTO. RECURSO PROVIDO. 1. Esta Corte Superior pacificou o entendimento segundo o qual, em razão da excepcionalidade do trancamento da ação penal, tal medida somente se verifica possível quando ficar demonstrado, de plano e sem necessidade de dilação probatória, a total ausência de indícios de autoria e prova da materialidade delitiva, a atipicidade da conduta ou a existência de alguma causa de extinção da punibilidade. É certa, ainda, a possibilidade de trancamento da persecução penal nos casos em que a denúncia for inepta, não atendendo o que dispõe o art. 41 do CPP, o que não impede a propositura de nova ação desde que suprida a irregularidade. 2. A jurisprudência do Superior Tribunal de Justiça se firmou no sentido de que a conduta tipificada no art. 7º, parágrafo único, inciso IX, da Lei 8.137/90 - expor à venda produtos impróprios para o consumo - deixa vestígios, razão pela qual a perícia é indispensável para a demonstração da materialidade delitiva, nos termos do art. 158 do Código de Processo Penal. Precedentes. 3. A realização de mero laudo de constatação não é suficiente para atestar que a mercadoria é efetivamente imprópria para o consumo, sendo imprescindível a realização de perícia técnica. Precedente. 4. Recurso em habeas corpus ao qual se dá provimento para determinar o trancamento da ação penal por falta de justa causa"
EXT_HC_412180_SC,ExternalCitation,"(HC n. 412.180/SC, Quinta Turma, Rel. Min. Ribeiro Dantas, DJe de 19/12/2017)",Case,STJ,0.8563,412.180,SC,Quinta Turma,Ribeiro Dantas,19/12/2017,". 5. Na hipótese de delito em que deixa vestígios, revela-se indispensável a realização de exame pericial para atestar a impropriedade da mercadoria para o consumo, nos termos do art. 158 do Código de Processo Penal. Precedentes. 6. Habeas corpus não conhecido. Ordem concedida de ofício para determinar o trancamento da Ação Penal n. 0004177-04.2015.8.24.0045"
EXT_AGRGNOARESP_1399883_SP,ExternalCitation,"(AgRg no AREsp n. 1.399.883/SP, Sexta Turma, Relª. Minª. Laurita Vaz, DJe de 24/5/2019)",Case,STJ,0.8563,1.399.883,SP,Sexta Turma,ª. Minª. Laurita Vaz,24/5/2019,"AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL. PENAL. ALEGAÇÃO DE QUE NÃO FOI VEICULADO PLEITO ABSOLUTÓRIO NAS RAZÕES DO APELO NOBRE. INSUBSISTENTE. PEDIDO QUE DEFLUI DA ARGUMENTAÇÃO VEICULADA NO RECURSO. MÉRITO RECURSAL. ANÁLISE. PRESSUPOSTOS DE ADMISSIBILIDADE. PREENCHIMENTO. ART. 7.º, INCISO IX, DA LEI N.º 8.137/90. NÃO ELABORADO LAUDO PARA COMPROVAR QUE AS MERCADORIAS MANTIDAS EM DEPÓSITO E EXPOSTAS À VENDA ERAM IMPRÓPRIAS AO CONSUMO HUMANO. AUSÊNCIA DE PROVA DA MATERIALIDADE DELITIVA. ABSOLVIÇÃO. NECESSIDADE. AGRAVO REGIMENTAL DESPROVIDO. 1. Não subsiste a alegação de que, na petição do recurso especial, não foi veiculado pedido de absolvição, porquanto, da análise sistemática dos argumentos expostos na citada peça processual, verifica-se que, da alegação de afronta ao art. 158 do Código de Processo Penal - por não ter sido comprovada a conduta delitiva em razão de inexistir prova pericial a comprovar serem os produtos impróprios para consumo humano -, deflui, sem sombra de dúvida, pleito absolutório. 2. Quanto à pretensa ausência de prequestionamento, se a decisão agravada apreciou o mérito do recurso especial, é porque concluiu estarem atendidos todos os pressupostos de admissibilidade. 3. Para a comprovação de prática das condutas delitivas previstas no inciso IX da Lei n.º 8.137/90, é imprescindível a elaboração de laudo pericial que comprove ser a mercadoria imprópria (nociva) para o consumo humano. 4. Agravo regimental desprovido"
EXT_AGRGNOHC_455690_MG,ExternalCitation,"(AgRg no HC n. 455.690/MG, Quinta Turma, Rel. Min. Félix Fischer, DJe de 21/09/2018)",Case,STJ,0.8563,455.690,MG,Quinta Turma,Félix Fischer,21/09/2018,"AGRAVO INTERNO. HABEAS CORPUS. RECEBIDO COMO AGRAVO REGIMENTAL. ART.258 DO RISTJ. EXECUÇÃO PENAL. UNIFICAÇÃO DE PENAS. NOVA DATA-BASE PARA A CONCESSÃO DE BENEFÍCIOS. AUSÊNCIA DE PREVISÃO LEGAL. IMPOSSIBILIDADE. AGRAVO DESPROVIDO. I - Este Superior Tribunal de Justiça se posicionava no sentido de que a superveniência de nova condenação, no curso da execução da pena, determinava a unificação das reprimendas e a fixação de nova data-base para a concessão de benefícios. II - A Terceira Seção desta Corte Superior de Justiça, ao julgar o REsp n. 1.557.461/SC, Relator o Ministro Rogério Schietti Cruz, e o Habeas Corpus n. 381.248/MG, com Relator para o acórdão o Ministro Sebastião Reis Júnior, modificou a orientação anterior e sedimentou o entendimento de que a alteração da data-base para a concessão de novos benefícios executórios, em razão da unificação das penas, não encontra respaldo legal. III - A decisão vergastada, que modificou o termo a quo para novos benefícios da execução, em face da unificação de penas, estabelecendo como novo marco a data do trânsito em julgado da última sentença condenatória, está em confronto com a nova orientação jurisprudencial firmada pela Terceira Seção desta Corte Superior de Justiça e, portanto, configura constrangimento ilegal. IV - A existência de uma decisão com entendimento diverso, proferida pelo col. Supremo Tribunal Federal em habeas corpus, por um de seus órgãos fracionários, sem efeito vinculante portanto, não impede que esta Corte mantenha orientação interpretativa que entender mais correta à norma infraconstitucional. V - Não cabe a esta Corte analisar suposta ofensa a princípios constitucionais, ainda que para fins de prequestionamento, sob pena de usurpação da competência reservada à Corte Suprema. Agravo regimental desprovido"
EXT_AGRGNOHC_396983_SP,ExternalCitation,"(AgRg no HC n. 396.983/SP, Sexta Turma, Rel. Min. Nefi Cordeiro, DJe de 24/11/2017)",Case,STJ,0.8563,396.983,SP,Sexta Turma,Nefi Cordeiro,24/11/2017,"EXECUÇÃO PENAL. AGRAVO REGIMENTAL NO HABEAS CORPUS. ASSOCIAÇÃO PARA O TRÁFICO DE DROGAS. CRIME NÃO CONSIDERADO HEDIONDO OU EQUIPARADO. PROGRESSÃO DE REGIME. LAPSO TEMPORAL PARA O BENEFÍCIO. APLICAÇÃO DO ARTIGO 112 DA LEP. INFRINGÊNCIA A DISPOSITIVOS CONSTITUCIONAIS. COMPETÊNCIA DO SUPREMO TRIBUNAL FEDERAL. AGRAVO REGIMENTAL IMPROVIDO. 1. De acordo com a Jurisprudência desta Corte Superior, ante a ausência de previsão no rol do art. 2º da Lei 8.072/90, o crime de associação para o tráfico previsto no art. 35 da Lei 11.343/06, não é crime hediondo ou equiparado. 2. Para a progressão de regime, no delito de associação para o tráfico de entorpecentes, deve ser aplicada a regra contida no art. 112 da LEP, que determina o cumprimento de 1/6 da pena para aquisição desse benefício. 3. Não cabe a esta Corte manifestar-se, ainda que para fins de prequestionamento, sobre suposta afronta a dispositivos/princípios constitucionais, sob pena de usurpação da competência do Supremo Tribunal Federal. 4. Agravo regimental improvido"
EXT_RESP_1_651_550_DF,ExternalCitation,REsp 1.651.550/DF,Case,STJ,0.8563,,,,,,
EXT_RESP_1477691_DF,ExternalCitation,REsp 1477691/DF,Case,STJ,0.7969,,,,,,
EXT_HC_195_824_DF,ExternalCitation,HC 195.824/DF,Case,STJ,0.7969,,,,,,
EXT_RESP_1175679_RS,ExternalCitation,REsp 1175679/RS,Case,STJ,0.7969,,,,,,
EXT_HC_132_257_SP,ExternalCitation,HC 132.257/SP,Case,STJ,0.7969,,,,,,
EXT_HC_90779_,ExternalCitation,"HC 90779,",Case,STJ,0.7969,,,,,,
EXT_RESP_466_667_SP,ExternalCitation,REsp 466.667/SP,Case,STJ,0.7214,,,,,,
EXT_RESP_1_243_632_RS,ExternalCitation,REsp 1.243.632/RS,Case,STJ,0.7214,,,,,,
EXT_RESP_929_893_PR,ExternalCitation,REsp 929.893/PR,Case,STJ,0.7214,,,,,,
EXT_RESP_962_980_SP,ExternalCitation,REsp 962.980/SP,Case,STJ,0.7214,,,,,,
